modelo,consulta,categoria,id_correcto,posicion,resultado_id,score,clasificacion_humana,observacion
clip,c03_exacto,exacta,AIM-P001-015,2,AIM-P008-465,0.7229,,
clip,c03_exacto,exacta,AIM-P001-015,3,AIM-P001-022,0.6964,,
clip,c03_exacto,exacta,AIM-P001-015,4,AIM-P001-026,0.6937,,
clip,c03_exacto,exacta,AIM-P001-015,5,AIM-P009-490,0.6878,,
clip,c06_exacto,exacta,AIM-P001-002,1,AIM-P010-543,0.6529,,
clip,c06_exacto,exacta,AIM-P001-002,2,AIM-P009-516,0.6406,,
clip,c06_exacto,exacta,AIM-P001-002,3,AIM-P002-116,0.6269,,
clip,c06_exacto,exacta,AIM-P001-002,4,AIM-P001-002,0.6173,Correcto,
clip,c06_exacto,exacta,AIM-P001-002,5,AIM-P007-391,0.6116,,
clip,c07_exacto,exacta,AIM-P001-003,1,AIM-P001-003,0.6607,Correcto,
clip,c07_exacto,exacta,AIM-P001-003,2,AIM-P009-510,0.6346,,
clip,c07_exacto,exacta,AIM-P001-003,3,AIM-P001-028,0.6338,,
clip,c07_exacto,exacta,AIM-P001-003,4,AIM-P011-657,0.6287,,
clip,c07_exacto,exacta,AIM-P001-003,5,AIM-P011-635,0.6257,,
clip,c08_exacto,exacta,AIM-P001-004,1,AIM-P001-004,0.8,Correcto,
clip,c08_exacto,exacta,AIM-P001-004,2,AIM-P012-676,0.6044,,
clip,c08_exacto,exacta,AIM-P001-004,3,AIM-P014-822,0.5974,,
clip,c08_exacto,exacta,AIM-P001-004,4,AIM-P004-181,0.5922,,
clip,c08_exacto,exacta,AIM-P001-004,5,AIM-P008-470,0.5664,,
clip,c09_exacto,exacta,AIM-P001-005,1,AIM-P001-005,0.7208,Correcto,
clip,c09_exacto,exacta,AIM-P001-005,2,AIM-P012-703,0.6842,,
clip,c09_exacto,exacta,AIM-P001-005,3,AIM-P010-592,0.6356,,
clip,c09_exacto,exacta,AIM-P001-005,4,AIM-P007-369,0.6312,,
clip,c09_exacto,exacta,AIM-P001-005,5,AIM-P002-105,0.616,,
clip,c10_exacto,exacta,AIM-P001-006,1,AIM-P010-549,0.7474,,
clip,c10_exacto,exacta,AIM-P001-006,2,AIM-P015-865,0.7011,,
clip,c10_exacto,exacta,AIM-P001-006,3,AIM-P017-963,0.7003,,
clip,c10_exacto,exacta,AIM-P001-006,4,AIM-P015-866,0.6943,,
clip,c10_exacto,exacta,AIM-P001-006,5,AIM-P007-396,0.6918,,
clip,c11_exacto,exacta,AIM-P001-007,1,AIM-P001-007,0.7181,Correcto,
clip,c11_exacto,exacta,AIM-P001-007,2,AIM-P001-028,0.6775,,
clip,c11_exacto,exacta,AIM-P001-007,3,AIM-P007-396,0.6623,,
clip,c11_exacto,exacta,AIM-P001-007,4,AIM-P009-526,0.6549,,
clip,c11_exacto,exacta,AIM-P001-007,5,AIM-P012-665,0.6519,,
clip,c13_exacto,exacta,AIM-P001-009,1,AIM-P001-009,0.6471,Correcto,
clip,c13_exacto,exacta,AIM-P001-009,2,AIM-P013-742,0.6268,,
clip,c13_exacto,exacta,AIM-P001-009,3,AIM-P014-788,0.5683,,
clip,c13_exacto,exacta,AIM-P001-009,4,AIM-P007-377,0.5622,,
clip,c13_exacto,exacta,AIM-P001-009,5,AIM-P016-951,0.5476,,
clip,c15_exacto,exacta,AIM-P001-011,1,AIM-P001-011,0.7755,Correcto,
clip,c15_exacto,exacta,AIM-P001-011,2,AIM-P002-089,0.692,,
clip,c15_exacto,exacta,AIM-P001-011,3,AIM-P007-396,0.6601,,
clip,c15_exacto,exacta,AIM-P001-011,4,AIM-P006-318,0.6497,,
clip,c15_exacto,exacta,AIM-P001-011,5,AIM-P001-028,0.6494,,
clip,c01_recoloreado,recoloreada,AIM-P001-013,1,AIM-P001-013,0.8152,Correcto,
clip,c01_recoloreado,recoloreada,AIM-P001-013,2,AIM-P003-180,0.8124,,
clip,c01_recoloreado,recoloreada,AIM-P001-013,3,AIM-P008-478,0.8012,,
clip,c01_recoloreado,recoloreada,AIM-P001-013,4,AIM-P012-670,0.7895,,
clip,c01_recoloreado,recoloreada,AIM-P001-013,5,AIM-P004-209,0.7864,,
clip,c03_recoloreado,recoloreada,AIM-P001-015,1,AIM-P001-022,0.8956,,
clip,c03_recoloreado,recoloreada,AIM-P001-015,2,AIM-P014-839,0.8891,,
clip,c03_recoloreado,recoloreada,AIM-P001-015,3,AIM-P006-307,0.878,,
clip,c03_recoloreado,recoloreada,AIM-P001-015,4,AIM-P006-320,0.873,,
clip,c03_recoloreado,recoloreada,AIM-P001-015,5,AIM-P001-015,0.8647,Correcto,
clip,c06_recoloreado,recoloreada,AIM-P001-002,1,AIM-P001-002,0.887,Correcto,
clip,c06_recoloreado,recoloreada,AIM-P001-002,2,AIM-P013-760,0.7757,,
clip,c06_recoloreado,recoloreada,AIM-P001-002,3,AIM-P010-570,0.7536,,
clip,c06_recoloreado,recoloreada,AIM-P001-002,4,AIM-P002-064,0.746,,
clip,c06_recoloreado,recoloreada,AIM-P001-002,5,AIM-P001-028,0.7439,,
clip,c08_recoloreado,recoloreada,AIM-P001-004,1,AIM-P001-004,0.8991,Correcto,
clip,c08_recoloreado,recoloreada,AIM-P001-004,2,AIM-P012-696,0.6832,,
clip,c08_recoloreado,recoloreada,AIM-P001-004,3,AIM-P010-550,0.6727,,
clip,c08_recoloreado,recoloreada,AIM-P001-004,4,AIM-P004-181,0.6662,,
clip,c08_recoloreado,recoloreada,AIM-P001-004,5,AIM-P013-745,0.6628,,
clip,c10_recoloreado,recoloreada,AIM-P001-006,1,AIM-P007-415,0.8106,,
clip,c10_recoloreado,recoloreada,AIM-P001-006,2,AIM-P006-357,0.805,,
clip,c10_recoloreado,recoloreada,AIM-P001-006,3,AIM-P008-441,0.8023,,
clip,c10_recoloreado,recoloreada,AIM-P001-006,4,AIM-P013-780,0.7712,,
clip,c10_recoloreado,recoloreada,AIM-P001-006,5,AIM-P017-981,0.7665,,
clip,c11_recoloreado,recoloreada,AIM-P001-007,1,AIM-P001-007,0.872,Correcto,
clip,c11_recoloreado,recoloreada,AIM-P001-007,2,AIM-P015-849,0.7238,,
clip,c11_recoloreado,recoloreada,AIM-P001-007,3,AIM-P010-570,0.6995,,
clip,c11_recoloreado,recoloreada,AIM-P001-007,4,AIM-P001-028,0.6982,,
clip,c11_recoloreado,recoloreada,AIM-P001-007,5,AIM-P004-212,0.6867,,
clip,c12_recoloreado,recoloreada,AIM-P001-008,1,AIM-P008-442,0.7433,,
clip,c12_recoloreado,recoloreada,AIM-P001-008,2,AIM-P004-203,0.7109,,
clip,c12_recoloreado,recoloreada,AIM-P001-008,3,AIM-P004-181,0.7066,,
clip,c12_recoloreado,recoloreada,AIM-P001-008,4,AIM-P009-489,0.7,,
clip,c12_recoloreado,recoloreada,AIM-P001-008,5,AIM-P006-339,0.6813,,
clip,c13_recoloreado,recoloreada,AIM-P001-009,1,AIM-P001-009,0.8038,Correcto,
clip,c13_recoloreado,recoloreada,AIM-P001-009,2,AIM-P013-742,0.708,,
clip,c13_recoloreado,recoloreada,AIM-P001-009,3,AIM-P005-247,0.6951,,
clip,c13_recoloreado,recoloreada,AIM-P001-009,4,AIM-P001-052,0.6774,,
clip,c13_recoloreado,recoloreada,AIM-P001-009,5,AIM-P015-849,0.6756,,
clip,c14_recoloreado,recoloreada,AIM-P001-010,1,AIM-P014-790,0.8635,,
clip,c14_recoloreado,recoloreada,AIM-P001-010,2,AIM-P008-466,0.8583,,
clip,c14_recoloreado,recoloreada,AIM-P001-010,3,AIM-P004-215,0.8473,,
clip,c14_recoloreado,recoloreada,AIM-P001-010,4,AIM-P008-437,0.8443,,
clip,c14_recoloreado,recoloreada,AIM-P001-010,5,AIM-P011-632,0.8382,,
clip,c16_recoloreado,recoloreada,AIM-P001-012,1,AIM-P011-631,0.8161,,
clip,c16_recoloreado,recoloreada,AIM-P001-012,2,AIM-P001-012,0.812,Correcto,
clip,c16_recoloreado,recoloreada,AIM-P001-012,3,AIM-P014-794,0.7663,,
clip,c16_recoloreado,recoloreada,AIM-P001-012,4,AIM-P013-780,0.7639,,
clip,c16_recoloreado,recoloreada,AIM-P001-012,5,AIM-P006-357,0.7604,,
clip,c01_recorte,recortada,AIM-P001-013,1,AIM-P001-013,0.8337,Correcto,
clip,c01_recorte,recortada,AIM-P001-013,2,AIM-P003-176,0.7474,,
clip,c01_recorte,recortada,AIM-P001-013,3,AIM-P012-696,0.7473,,
clip,c01_recorte,recortada,AIM-P001-013,4,AIM-P003-139,0.7437,,
clip,c01_recorte,recortada,AIM-P001-013,5,AIM-P008-462,0.7399,,
clip,c07_recorte,recortada,AIM-P001-003,1,AIM-P001-003,0.9125,Correcto,
clip,c07_recorte,recortada,AIM-P001-003,2,AIM-P003-151,0.8133,,
clip,c07_recorte,recortada,AIM-P001-003,3,AIM-P003-176,0.8017,,
clip,c07_recorte,recortada,AIM-P001-003,4,AIM-P013-749,0.7939,,
clip,c07_recorte,recortada,AIM-P001-003,5,AIM-P010-558,0.793,,
clip,c08_recorte,recortada,AIM-P001-004,1,AIM-P001-004,0.969,Correcto,
clip,c08_recorte,recortada,AIM-P001-004,2,AIM-P014-822,0.6858,,
clip,c08_recorte,recortada,AIM-P001-004,3,AIM-P012-683,0.6771,,
clip,c08_recorte,recortada,AIM-P001-004,4,AIM-P012-696,0.6757,,
clip,c08_recorte,recortada,AIM-P001-004,5,AIM-P008-439,0.6731,,
clip,c09_recorte,recortada,AIM-P001-005,1,AIM-P001-005,0.9057,Correcto,
clip,c09_recorte,recortada,AIM-P001-005,2,AIM-P012-696,0.6837,,
clip,c09_recorte,recortada,AIM-P001-005,3,AIM-P015-881,0.6805,,
clip,c09_recorte,recortada,AIM-P001-005,4,AIM-P001-018,0.6719,,
clip,c09_recorte,recortada,AIM-P001-005,5,AIM-P017-980,0.6572,,
clip,c10_recorte,recortada,AIM-P001-006,1,AIM-P001-006,0.9779,Correcto,
clip,c10_recorte,recortada,AIM-P001-006,2,AIM-P007-372,0.854,,
clip,c10_recorte,recortada,AIM-P001-006,3,AIM-P017-977,0.8514,,
clip,c10_recorte,recortada,AIM-P001-006,4,AIM-P015-886,0.8482,,
clip,c10_recorte,recortada,AIM-P001-006,5,AIM-P010-588,0.8402,,
clip,c12_recorte,recortada,AIM-P001-008,1,AIM-P001-008,0.696,Correcto,
clip,c12_recorte,recortada,AIM-P001-008,2,AIM-P008-442,0.6442,,
clip,c12_recorte,recortada,AIM-P001-008,3,AIM-P013-739,0.5978,,
clip,c12_recorte,recortada,AIM-P001-008,4,AIM-P001-003,0.592,,
clip,c12_recorte,recortada,AIM-P001-008,5,AIM-P013-774,0.5912,,
clip,c13_recorte,recortada,AIM-P001-009,1,AIM-P001-009,0.8236,Correcto,
clip,c13_recorte,recortada,AIM-P001-009,2,AIM-P013-742,0.7895,,
clip,c13_recorte,recortada,AIM-P001-009,3,AIM-P008-424,0.7633,,
clip,c13_recorte,recortada,AIM-P001-009,4,AIM-P005-247,0.7449,,
clip,c13_recorte,recortada,AIM-P001-009,5,AIM-P007-377,0.7129,,
clip,c14_recorte,recortada,AIM-P001-010,1,AIM-P001-010,0.946,Correcto,
clip,c14_recorte,recortada,AIM-P001-010,2,AIM-P004-215,0.8518,,
clip,c14_recorte,recortada,AIM-P001-010,3,AIM-P009-490,0.8495,,
clip,c14_recorte,recortada,AIM-P001-010,4,AIM-P006-307,0.8459,,
clip,c14_recorte,recortada,AIM-P001-010,5,AIM-P013-761,0.8441,,
clip,c15_recorte,recortada,AIM-P001-011,1,AIM-P001-011,0.9051,Correcto,
clip,c15_recorte,recortada,AIM-P001-011,2,AIM-P013-745,0.7916,,
clip,c15_recorte,recortada,AIM-P001-011,3,AIM-P002-089,0.7697,,
clip,c15_recorte,recortada,AIM-P001-011,4,AIM-P003-151,0.7682,,
clip,c15_recorte,recortada,AIM-P001-011,5,AIM-P006-318,0.767,,
clip,c16_recorte,recortada,AIM-P001-012,1,AIM-P001-012,0.8876,Correcto,
clip,c16_recorte,recortada,AIM-P001-012,2,AIM-P011-631,0.7672,,
clip,c16_recorte,recortada,AIM-P001-012,3,AIM-P010-575,0.7613,,
clip,c16_recorte,recortada,AIM-P001-012,4,AIM-P003-138,0.7603,,
clip,c16_recorte,recortada,AIM-P001-012,5,AIM-P008-463,0.7599,,
clip,c02_sin_marco,sin_marco,AIM-P001-014,1,AIM-P001-014,1.0,Correcto,
clip,c02_sin_marco,sin_marco,AIM-P001-014,2,AIM-P003-163,0.6817,,
clip,c02_sin_marco,sin_marco,AIM-P001-014,3,AIM-P014-826,0.6786,,
clip,c02_sin_marco,sin_marco,AIM-P001-014,4,AIM-P007-405,0.6408,,
clip,c02_sin_marco,sin_marco,AIM-P001-014,5,AIM-P010-545,0.6394,,
clip,c03_sin_marco,sin_marco,AIM-P001-015,1,AIM-P001-015,1.0,Correcto,
clip,c03_sin_marco,sin_marco,AIM-P001-015,2,AIM-P001-022,0.9162,,
clip,c03_sin_marco,sin_marco,AIM-P001-015,3,AIM-P014-806,0.908,,
clip,c03_sin_marco,sin_marco,AIM-P001-015,4,AIM-P017-994,0.907,,
clip,c03_sin_marco,sin_marco,AIM-P001-015,5,AIM-P009-490,0.8851,,
clip,c05_sin_marco,sin_marco,AIM-P001-001,1,AIM-P001-001,1.0,Correcto,
clip,c05_sin_marco,sin_marco,AIM-P001-001,2,AIM-P002-088,0.7834,,
clip,c05_sin_marco,sin_marco,AIM-P001-001,3,AIM-P017-980,0.7603,,
clip,c05_sin_marco,sin_marco,AIM-P001-001,4,AIM-P012-688,0.7245,,
clip,c05_sin_marco,sin_marco,AIM-P001-001,5,AIM-P008-434,0.7201,,
clip,c06_sin_marco,sin_marco,AIM-P001-002,1,AIM-P001-002,1.0,Correcto,
clip,c06_sin_marco,sin_marco,AIM-P001-002,2,AIM-P004-233,0.7561,,
clip,c06_sin_marco,sin_marco,AIM-P001-002,3,AIM-P003-132,0.7491,,
clip,c06_sin_marco,sin_marco,AIM-P001-002,4,AIM-P007-413,0.7382,,
clip,c06_sin_marco,sin_marco,AIM-P001-002,5,AIM-P003-151,0.7241,,
clip,c07_sin_marco,sin_marco,AIM-P001-003,1,AIM-P001-003,1.0,Correcto,
clip,c07_sin_marco,sin_marco,AIM-P001-003,2,AIM-P003-151,0.8124,,
clip,c07_sin_marco,sin_marco,AIM-P001-003,3,AIM-P010-581,0.812,,
clip,c07_sin_marco,sin_marco,AIM-P001-003,4,AIM-P003-132,0.8005,,
clip,c07_sin_marco,sin_marco,AIM-P001-003,5,AIM-P010-558,0.7937,,
clip,c11_sin_marco,sin_marco,AIM-P001-007,1,AIM-P001-007,1.0,Correcto,
clip,c11_sin_marco,sin_marco,AIM-P001-007,2,AIM-P002-090,0.7357,,
clip,c11_sin_marco,sin_marco,AIM-P001-007,3,AIM-P001-028,0.734,,
clip,c11_sin_marco,sin_marco,AIM-P001-007,4,AIM-P013-780,0.7199,,
clip,c11_sin_marco,sin_marco,AIM-P001-007,5,AIM-P002-117,0.7171,,
clip,c12_sin_marco,sin_marco,AIM-P001-008,1,AIM-P001-008,1.0,Correcto,
clip,c12_sin_marco,sin_marco,AIM-P001-008,2,AIM-P003-175,0.7106,,
clip,c12_sin_marco,sin_marco,AIM-P001-008,3,AIM-P013-749,0.705,,
clip,c12_sin_marco,sin_marco,AIM-P001-008,4,AIM-P004-240,0.7035,,
clip,c12_sin_marco,sin_marco,AIM-P001-008,5,AIM-P003-176,0.7018,,
clip,c13_sin_marco,sin_marco,AIM-P001-009,1,AIM-P001-009,1.0,Correcto,
clip,c13_sin_marco,sin_marco,AIM-P001-009,2,AIM-P013-742,0.7838,,
clip,c13_sin_marco,sin_marco,AIM-P001-009,3,AIM-P005-247,0.6914,,
clip,c13_sin_marco,sin_marco,AIM-P001-009,4,AIM-P008-424,0.6855,,
clip,c13_sin_marco,sin_marco,AIM-P001-009,5,AIM-P014-794,0.6708,,
clip,c14_sin_marco,sin_marco,AIM-P001-010,1,AIM-P001-010,1.0,Correcto,
clip,c14_sin_marco,sin_marco,AIM-P001-010,2,AIM-P006-307,0.884,,
clip,c14_sin_marco,sin_marco,AIM-P001-010,3,AIM-P014-798,0.8651,,
clip,c14_sin_marco,sin_marco,AIM-P001-010,4,AIM-P009-490,0.8639,,
clip,c14_sin_marco,sin_marco,AIM-P001-010,5,AIM-P001-020,0.8555,,
clip,c16_sin_marco,sin_marco,AIM-P001-012,1,AIM-P001-012,1.0,Correcto,
clip,c16_sin_marco,sin_marco,AIM-P001-012,2,AIM-P016-953,0.7713,,
clip,c16_sin_marco,sin_marco,AIM-P001-012,3,AIM-P010-575,0.7536,,
clip,c16_sin_marco,sin_marco,AIM-P001-012,4,AIM-P015-865,0.7509,,
clip,c16_sin_marco,sin_marco,AIM-P001-012,5,AIM-P009-513,0.7493,,
openclip,c01_cuerpo,cuerpo,AIM-P001-013,1,AIM-P006-333,0.5339,,
openclip,c01_cuerpo,cuerpo,AIM-P001-013,2,AIM-P005-272,0.5205,,
openclip,c01_cuerpo,cuerpo,AIM-P001-013,3,AIM-P015-857,0.507,,
openclip,c01_cuerpo,cuerpo,AIM-P001-013,4,AIM-P001-013,0.5015,Correcto,
openclip,c01_cuerpo,cuerpo,AIM-P001-013,5,AIM-P008-423,0.5007,,
openclip,c03_cuerpo,cuerpo,AIM-P001-015,1,AIM-P010-549,0.5545,,
openclip,c03_cuerpo,cuerpo,AIM-P001-015,2,AIM-P017-994,0.5325,,
openclip,c03_cuerpo,cuerpo,AIM-P001-015,3,AIM-P017-963,0.5277,,
openclip,c03_cuerpo,cuerpo,AIM-P001-015,4,AIM-P008-465,0.5246,,
openclip,c03_cuerpo,cuerpo,AIM-P001-015,5,AIM-P008-479,0.522,,
openclip,c04_cuerpo,cuerpo,AIM-P001-016,1,AIM-P001-016,0.566,Correcto,
openclip,c04_cuerpo,cuerpo,AIM-P001-016,2,AIM-P010-599,0.5201,,
openclip,c04_cuerpo,cuerpo,AIM-P001-016,3,AIM-P005-265,0.5131,,
openclip,c04_cuerpo,cuerpo,AIM-P001-016,4,AIM-P008-429,0.3969,,
openclip,c04_cuerpo,cuerpo,AIM-P001-016,5,AIM-P005-241,0.3744,,
openclip,c06_cuerpo,cuerpo,AIM-P001-002,1,AIM-P001-002,0.56,Correcto,
openclip,c06_cuerpo,cuerpo,AIM-P001-002,2,AIM-P003-132,0.5124,,
openclip,c06_cuerpo,cuerpo,AIM-P001-002,3,AIM-P004-202,0.5075,,
openclip,c06_cuerpo,cuerpo,AIM-P001-002,4,AIM-P006-333,0.5052,,
openclip,c06_cuerpo,cuerpo,AIM-P001-002,5,AIM-P006-318,0.5049,,
openclip,c09_cuerpo,cuerpo,AIM-P001-005,1,AIM-P013-759,0.4695,,
openclip,c09_cuerpo,cuerpo,AIM-P001-005,2,AIM-P006-357,0.4466,,
openclip,c09_cuerpo,cuerpo,AIM-P001-005,3,AIM-P001-005,0.439,Correcto,
openclip,c09_cuerpo,cuerpo,AIM-P001-005,4,AIM-P008-423,0.4389,,
openclip,c09_cuerpo,cuerpo,AIM-P001-005,5,AIM-P006-333,0.4263,,
openclip,c10_cuerpo,cuerpo,AIM-P001-006,1,AIM-P006-333,0.4037,,
openclip,c10_cuerpo,cuerpo,AIM-P001-006,2,AIM-P001-006,0.3989,Correcto,
openclip,c10_cuerpo,cuerpo,AIM-P001-006,3,AIM-P007-396,0.3742,,
openclip,c10_cuerpo,cuerpo,AIM-P001-006,4,AIM-P005-276,0.3638,,
openclip,c10_cuerpo,cuerpo,AIM-P001-006,5,AIM-P010-549,0.3513,,
openclip,c11_cuerpo,cuerpo,AIM-P001-007,1,AIM-P001-007,0.5351,Correcto,
openclip,c11_cuerpo,cuerpo,AIM-P001-007,2,AIM-P006-333,0.4889,,
openclip,c11_cuerpo,cuerpo,AIM-P001-007,3,AIM-P013-732,0.4789,,
openclip,c11_cuerpo,cuerpo,AIM-P001-007,4,AIM-P005-276,0.4783,,
openclip,c11_cuerpo,cuerpo,AIM-P001-007,5,AIM-P013-759,0.4699,,
openclip,c12_cuerpo,cuerpo,AIM-P001-008,1,AIM-P005-293,0.5253,,
openclip,c12_cuerpo,cuerpo,AIM-P001-008,2,AIM-P004-202,0.4885,,
openclip,c12_cuerpo,cuerpo,AIM-P001-008,3,AIM-P007-396,0.4725,,
openclip,c12_cuerpo,cuerpo,AIM-P001-008,4,AIM-P017-966,0.4658,,
openclip,c12_cuerpo,cuerpo,AIM-P001-008,5,AIM-P009-510,0.4654,,
openclip,c13_cuerpo,cuerpo,AIM-P001-009,1,AIM-P001-009,0.4658,Correcto,
openclip,c13_cuerpo,cuerpo,AIM-P001-009,2,AIM-P015-865,0.4383,,
openclip,c13_cuerpo,cuerpo,AIM-P001-009,3,AIM-P017-984,0.4258,,
openclip,c13_cuerpo,cuerpo,AIM-P001-009,4,AIM-P002-064,0.4163,,
openclip,c13_cuerpo,cuerpo,AIM-P001-009,5,AIM-P006-333,0.4156,,
openclip,c15_cuerpo,cuerpo,AIM-P001-011,1,AIM-P001-011,0.5835,Correcto,
openclip,c15_cuerpo,cuerpo,AIM-P001-011,2,AIM-P006-333,0.4294,,
openclip,c15_cuerpo,cuerpo,AIM-P001-011,3,AIM-P013-759,0.4,,
openclip,c15_cuerpo,cuerpo,AIM-P001-011,4,AIM-P004-183,0.3957,,
openclip,c15_cuerpo,cuerpo,AIM-P001-011,5,AIM-P007-364,0.3952,,
openclip,c02_exacto,exacta,AIM-P001-014,1,AIM-P001-014,0.6841,Correcto,
openclip,c02_exacto,exacta,AIM-P001-014,2,AIM-P007-420,0.4682,,
openclip,c02_exacto,exacta,AIM-P001-014,3,AIM-P003-131,0.4211,,
openclip,c02_exacto,exacta,AIM-P001-014,4,AIM-P002-084,0.4144,,
openclip,c02_exacto,exacta,AIM-P001-014,5,AIM-P011-609,0.4059,,
openclip,c03_exacto,exacta,AIM-P001-015,1,AIM-P001-015,0.6063,Correcto,
openclip,c03_exacto,exacta,AIM-P001-015,2,AIM-P008-453,0.5986,,
openclip,c03_exacto,exacta,AIM-P001-015,3,AIM-P008-465,0.5849,,
openclip,c03_exacto,exacta,AIM-P001-015,4,AIM-P017-994,0.5849,,
openclip,c03_exacto,exacta,AIM-P001-015,5,AIM-P017-964,0.5848,,
openclip,c06_exacto,exacta,AIM-P001-002,1,AIM-P001-002,0.5813,Correcto,
openclip,c06_exacto,exacta,AIM-P001-002,2,AIM-P004-233,0.4748,,
openclip,c06_exacto,exacta,AIM-P001-002,3,AIM-P016-920,0.4469,,
openclip,c06_exacto,exacta,AIM-P001-002,4,AIM-P003-132,0.4442,,
