consulta,categoria,id_correcto,archivo,h1_top1,h1_top5,h1_tiempo_ms,h1_mejor_id,h1_n_resultados,h2_top1,h2_top5,h2_tiempo_ms,h2_mejor_id,h2_n_resultados,h2oc_top1,h2oc_top5,h2oc_tiempo_ms,h2oc_mejor_id,h2oc_n_resultados,h2fu_top1,h2fu_top5,h2fu_tiempo_ms,h2fu_mejor_id,h2fu_n_resultados
c06_recorte.jpg,recortada,AIM-P001-002,c06_recorte.jpg,no,no,241.3,AIM-P011-628,5,SI,SI,756.2,AIM-P001-002,2,SI,SI,403.8,AIM-P001-002,1,SI,SI,4761.8,AIM-P001-002,1
c06_cuerpo.jpeg,persona,AIM-P001-002,c06_cuerpo.jpeg,no,no,201.1,AIM-P012-691,5,no,no,471.6,AIM-P003-139,5,SI,SI,433.9,AIM-P001-002,5,SI,SI,4352.1,AIM-P001-002,5
c07_exacto.jpg,exacta,AIM-P001-003,c07_exacto.jpg,SI,SI,177.8,AIM-P001-003,5,SI,SI,513.4,AIM-P001-003,1,SI,SI,562.0,AIM-P001-003,1,SI,SI,4301.9,AIM-P001-003,5
c07_sin_marco.jpg,sin_marco,AIM-P001-003,c07_sin_marco.jpg,no,SI,187.0,AIM-P003-151,5,SI,SI,474.8,AIM-P001-003,1,SI,SI,346.1,AIM-P001-003,1,SI,SI,4186.0,AIM-P001-003,1
c07_recoloreado.jpeg,recoloreada,AIM-P001-003,c07_recoloreado.jpeg,no,no,193.3,AIM-P012-710,5,no,no,392.7,AIM-P016-922,4,SI,SI,401.4,AIM-P001-003,1,SI,SI,4067.0,AIM-P001-003,2
c07_recorte.jpg,recortada,AIM-P001-003,c07_recorte.jpg,no,no,160.0,AIM-P003-151,5,SI,SI,341.8,AIM-P001-003,1,SI,SI,293.9,AIM-P001-003,1,SI,SI,3960.5,AIM-P001-003,1
c07_cuerpo.jpeg,persona,AIM-P001-003,c07_cuerpo.jpeg,no,no,295.7,AIM-P005-251,5,no,no,418.3,AIM-P004-202,5,no,no,263.7,AIM-P009-510,3,no,SI,4148.9,AIM-P013-749,5
c08_exacto.jpg,exacta,AIM-P001-004,c08_exacto.jpg,SI,SI,194.4,AIM-P001-004,5,SI,SI,566.9,AIM-P001-004,2,SI,SI,530.3,AIM-P001-004,2,SI,SI,4420.2,AIM-P001-004,3
c08_sin_marco.jpg,sin_marco,AIM-P001-004,c08_sin_marco.jpg,SI,SI,192.2,AIM-P001-004,5,SI,SI,405.4,AIM-P001-004,1,SI,SI,357.0,AIM-P001-004,1,SI,SI,5341.6,AIM-P001-004,1
c08_recoloreado.jpeg,recoloreada,AIM-P001-004,c08_recoloreado.jpeg,SI,SI,201.6,AIM-P001-004,5,SI,SI,409.1,AIM-P001-004,1,SI,SI,318.3,AIM-P001-004,1,SI,SI,5539.7,AIM-P001-004,2
c08_recorte.jpg,recortada,AIM-P001-004,c08_recorte.jpg,SI,SI,269.2,AIM-P001-004,5,SI,SI,483.5,AIM-P001-004,1,SI,SI,432.1,AIM-P001-004,1,SI,SI,6272.2,AIM-P001-004,1
c08_cuerpo.jpeg,persona,AIM-P001-004,c08_cuerpo.jpeg,SI,SI,331.6,AIM-P001-004,5,no,no,489.2,AIM-P004-195,5,no,SI,522.5,AIM-P003-129,5,no,SI,6627.9,AIM-P003-180,5
c09_exacto.png,exacta,AIM-P001-005,c09_exacto.png,SI,SI,443.9,AIM-P001-005,5,SI,SI,726.1,AIM-P001-005,2,SI,SI,847.5,AIM-P001-005,1,SI,SI,6211.6,AIM-P001-005,5
c09_sin_marco.jpg,sin_marco,AIM-P001-005,c09_sin_marco.jpg,SI,SI,289.3,AIM-P001-005,5,SI,SI,560.8,AIM-P001-005,1,SI,SI,434.1,AIM-P001-005,1,SI,SI,6385.5,AIM-P001-005,1
c09_recoloreado.jpeg,recoloreada,AIM-P001-005,c09_recoloreado.jpeg,SI,SI,335.8,AIM-P001-005,5,SI,SI,581.4,AIM-P001-005,1,SI,SI,620.2,AIM-P001-005,1,SI,SI,6809.0,AIM-P001-005,1
c09_recorte.jpg,recortada,AIM-P001-005,c09_recorte.jpg,SI,SI,299.4,AIM-P001-005,5,SI,SI,485.0,AIM-P001-005,1,SI,SI,526.9,AIM-P001-005,1,SI,SI,6429.9,AIM-P001-005,1
c09_cuerpo.jpeg,persona,AIM-P001-005,c09_cuerpo.jpeg,no,no,364.5,AIM-P005-251,5,no,no,632.0,AIM-P008-432,5,no,SI,661.6,AIM-P013-759,5,no,no,6533.9,AIM-P006-357,5
c10_exacto.jpg,exacta,AIM-P001-006,c10_exacto.jpg,SI,SI,339.7,AIM-P001-006,5,no,no,614.3,AIM-P010-549,2,no,SI,493.0,AIM-P010-549,2,SI,SI,6417.1,AIM-P001-006,5
c10_sin_marco.jpg,sin_marco,AIM-P001-006,c10_sin_marco.jpg,no,no,280.2,AIM-P014-815,5,SI,SI,549.4,AIM-P001-006,1,SI,SI,370.5,AIM-P001-006,1,SI,SI,6705.1,AIM-P001-006,1
c10_recoloreado.jpeg,recoloreada,AIM-P001-006,c10_recoloreado.jpeg,no,SI,394.9,AIM-P005-251,5,no,no,508.5,AIM-P007-415,4,SI,SI,420.4,AIM-P001-006,5,no,SI,6453.1,AIM-P005-264,5
c10_recorte.jpg,recortada,AIM-P001-006,c10_recorte.jpg,no,no,294.8,AIM-P014-815,5,SI,SI,514.7,AIM-P001-006,1,SI,SI,418.9,AIM-P001-006,1,SI,SI,6267.8,AIM-P001-006,1
c10_cuerpo.jpeg,persona,AIM-P001-006,c10_cuerpo.jpeg,SI,SI,293.5,AIM-P001-006,5,no,no,532.7,AIM-P013-780,5,SI,SI,497.8,AIM-P001-006,5,SI,SI,6648.2,AIM-P001-006,1
